1	1	True
abcz	abcz	True
Abcz	Abcgaoxiao`meishiabcba	False
.	A	True
.	AB	False
ab.12	ab012	True
Ab12.	Ab129	True
1*	1gaoxiao`meishi1111	True
12a*bc	12bcgaoxiao`meishi12abcgaoxiao`meishi12aaabc	True
12.*bc	12567b9bcgaoxiao`meishi12bcgaoxiao`meishi12Abc	True
12.*bc	12bbbbgaoxiao`meishi12567b8c	False
1+	234	False
1+	1gaoxiao`meishi11111	True
12a+bc	12bc	False
12a+bc	12abcgaoxiao`meishi12aaabc	True
12.+bc	12567b9bcgaoxiao`meishi12Abc	True
12.+bc	12bcgaoxiao`meishi12bbbbgaoxiao`meishi12567b8c	False
1?	1	True
1?	11111	False
12a?bc	12bcgaoxiao`meishi12abc	True
12a?bc	12aaabc	False
12.?bc	12bcgaoxiao`meishi12Abcgaoxiao`meishi12bbc	True
12.?bc	12bbbbgaoxiao`meishi12567b8cgaoxiao`meishi12567b9bc	False
(T)	T	True
(T)	TT	False
I(Thanks)you	Iyou	False
I(Thanks)you	IThanksyou	True
I(Thank.*)you	IThanktoyougaoxiao`meishiIThanktoallofyougaoxiao`meishiIThankyou	True
I(Thank.*)you	IThanyougaoxiao`meishiIThanktoyo	False
(Good)*	Goodgaoxiao`meishiGoodGoodGood	True
I(very)*happy	Ihappygaoxiao`meishiIveryveryveryhappy	True
(Good)+	Googaoxiao`meishiGoodGoo	False
(Good)+	Goodgaoxiao`meishiGoodGood	True
I(very)+happy	Ihappy	False
I(very)+happy	Iveryveryveryhappy	True
I(ve.ry)+happy	Ihappygaoxiao`meishiIveryhappy	False
I(ve.?ry)+happy	Iveryveryveryhappy	True
(Good)?	Good	True
(Good)?	GoodGoodGood	False
I(very)?happy	Ihappygaoxiao`meishiIveryhappy	True
I(.very)?happy	Ihappygaoxiao`meishiImveryhappy	True
I(.very)?happy	Iveryhappygaoxiao`meishiveryhappy	False
[521]	5gaoxiao`meishi2gaoxiao`meishi1	True
[521]	0gaoxiao`meishiagaoxiao`meishiB	Fasle
[^abc]	agaoxiao`meishibgaoxiao`meishic	False
[^abc]	Agaoxiao`meishiBgaoxiao`meishiCgaoxiao`meishi1gaoxiao`meishi5	True
[a-c1-256]	agaoxiao`meishibgaoxiao`meishicgaoxiao`meishi1gaoxiao`meishi2gaoxiao`meishi5gaoxiao`meishi6	True
[a-c1-256]	Agaoxiao`meishiZgaoxiao`meishi3gaoxiao`meishi4gaoxiao`meishi7gaoxiao`meishi8gaoxiao`meishi0	False
A[521]b	A5bgaoxiao`meishiA1bgaoxiao`meishiA2b	True
A[521]b	Abgaoxiao`meishiA521b	False
A[^512]b	A6bgaoxiao`meishiAAbgaoxiao`meishiAmb	True
A[1-234A-M]b	A1bgaoxiao`meishiA2bgaoxiao`meishiA3bgaoxiao`meishiA4bgaoxiao`meishiACbgaoxiao`meishiAMb	True
A[1-234A-M]b	A5bgaoxiao`meishiANbgaoxiao`meishiAZb	False
