1	1	True
abcz	abcz	True
Abcz	Abc`abcba	False
.	A	True
.	AB	False
ab.12	ab012	True
Ab12.	Ab129	True
1*	1`1111	True
12a*bc	12bc`12abc`12aaabc	True
12.*bc	12567b9bc`12bc`12Abc	True
12.*bc	12bbbb`12567b8c	False
1+	234	False
1+	1`11111	True
12a+bc	12bc	False
12a+bc	12abc`12aaabc	True
12.+bc	12567b9bc`12Abc	True
12.+bc	12bc`12bbbb`12567b8c	False
1?	1	True
1?	11111	False
12a?bc	12bc`12abc	True
12a?bc	12aaabc	False
12.?bc	12bc`12Abc`12bbc	True
12.?bc	12bbbb`12567b8c`12567b9bc	False
(T)	T	True
(T)	TT	False
I(Thanks)you	Iyou	False
I(Thanks)you	IThanksyou	True
I(Thank.*)you	IThanktoyou`IThanktoallofyou`IThankyou	True
I(Thank.*)you	IThanyou`IThanktoyo	False
(Good)*	Good`GoodGoodGood	True
I(very)*happy	Ihappy`Iveryveryveryhappy	True
(Good)+	Goo`GoodGoo	False
(Good)+	Good`GoodGood	True
I(very)+happy	Ihappy	False
I(very)+happy	Iveryveryveryhappy	True
I(ve.ry)+happy	Ihappy`Iveryhappy	False
I(ve.?ry)+happy	Iveryveryveryhappy	True
(Good)?	Good	True
(Good)?	GoodGoodGood	False
I(very)?happy	Ihappy`Iveryhappy	True
I(.very)?happy	Ihappy`Imveryhappy	True
I(.very)?happy	Iveryhappy`veryhappy	False
[521]	5`2`1	True
[521]	0`a`B	Fasle
[^abc]	a`b`c	False
[^abc]	A`B`C`1`5	True
[a-c1-256]	a`b`c`1`2`5`6	True
[a-c1-256]	A`Z`3`4`7`8`0	False
A[521]b	A5b`A1b`A2b	True
A[521]b	Ab`A521b	False
A[^512]b	A6b`AAb`Amb	True
A[1-234A-M]b	A1b`A2b`A3b`A4b`ACb`AMb	True
A[1-234A-M]b	A5b`ANb`AZb	False
A[^1-2A-M]b	A1b`A2b`ACb`AMb`AAb	False
A[^1-2A-M]b	A3b`ANb`AZb`Aab	True
[521]*	555`521125	True
[521]*	214`25a	False
A[521]*b	Ab`A5b`A521b	True
A[521]*b	A59b	False
A[^521]*b	A5b`A2b`A25b`A521ABCbb	False
A[^521]*b	Ab`Abcdefb`AABCbb`Abcdefb	True
[521]+	2`555`521125	True
[521]+	214`25a	False
A[521]+b	A5b`A521b	True
A[521]+b	Ab`A59b	False
A[^521]+b	Ab`A5b`A521b`A521ABCbb	False
A[^521]+b	Abcdefb`AABCbb`Abcdefb	True
[521]?	5`2`1	True
[521]?	4`abc	False
A[521]?b	Ab`A5b`A2b	True
A[521]?b	A9b`A521b	False
A[^521]?b	A5b`A2b`A52b`A5212b	False
A[^521]?b	Ab`Abb`AAb`Axb	True
123|abc	123`abc	True
123|abc	1`a`1a`bc	False
123|abc|XYZ	123`abc`XYZ	True
123|abc|XYZ	1aX`112	False
.23|a.c|XY.	a23`a2c`X23`XY3	True
.23|a.c|XY.	a2Z`a23XY	False
(12|bc)	12`bc	True
(12|bc)	1b`2gG	False
